缺陷编号,标题,模块,缺陷类型,严重程度,优先级,复现步骤,预期结果,实际结果,核实状态,核实证据（代码/测试）,修复批次,修复提交/版本,回归验收方式,备注
BUG-15,已设未读后再次点设置不应显示标记未读,消息列表,UX,一般,P1,1.消息 2.标记未读 3.再次点消息设置,显示「取消未读」,仍显示「标记未读」,已修复·待真机回归,conversation_action_sheet.dart:20-23（无 unread 入参）；markUnread 恒 true,批次A,本批次（工作树，未提交）,widget 两态断言+取消后列表恢复,偏好层已支持 manualUnread:false
BUG-16,发起群聊应默认选中当前会话对象,群聊,UX,一般,P2,1.消息 2.聊天信息页 3.点添加发起群聊,默认选中该用户可取消,未选中,已修复·待真机回归,room_page.dart:2678 onCreateGroup 无参；group_chat_controller.dart:55 恒空,批次A,本批次（工作树，未提交）,widget 默认选中+可取消,链路传 peer matrixUserId
BUG-17,置顶会话背景色需与普通会话区分,消息列表,UI,建议,P2,1.消息 2.置顶 3.查看背景,背景色有区分,与普通一致,已修复·待真机回归,conversation_list_tile.dart:57-60（浅#EDEDED/#FFF 深#191919/#232323）,批次R,当前主干,真机回归,深色差值较小可再调
BUG-18,平台建议增加直接取消封禁功能,管理后台,需求,一般,P2,管理后台操作解封,可直接解封,无此功能,已具备·无需开发,admin.py:172-180 POST /security/bans/{id}/revoke；admin-home.js:17,无,已具备,管理后台操作验证,仅覆盖 SUSPENDED；DISABLED 解封需扩展（备注）
BUG-19,被封禁用户登录提示错误,登录/安全,UX,一般,P1,1.被封禁账号登录 2.看提示,提示账号被封禁,提示账号或密码错误,已修复·已部署·待真机回归,identity.py:624-634（合并 CREDENTIALS_INVALID）；login_controller.dart:421-427,批次B,服务端已部署（2026-09-20 恢复部署，镜像 starchat-business-api:defect-restore-20260920）,服务端测试+真机,决策点D2：防枚举 vs 专用 403 提示；服务端 403 ACCOUNT_SUSPENDED；需部署服务端后回归；2026-09-20 核验：服务端 403 修复曾因 business-api 镜像重建（fb41d7fa 构建自陈旧源码树）丢失，已按 admin 流程重新覆盖 identity.py 并重启验证（换端点 422/400、错误密码 401、日志 0 error）
BUG-20,消息列表缺草稿标识,消息列表,功能,一般,P1,1.会话输入草稿不发送 2.返回列表看该会话,显示草稿标识,无标识,已修复·待真机回归,room_draft_store.dart 仅 room_page 消费；列表副标题无草稿渲染,批次A+反馈,工作树（未提交）,widget 有/无/清空草稿三态,草稿存储已存在仅差列表接入；逐 tile 即时刷新，无卡顿；冷启动旧草稿仍为后续优化；三轮：草稿会话上浮至置顶之下（成员修订驱动重排）
BUG-21,互为好友申请先后通过第二个报错,通讯录/服务端,功能,一般,P1,1.两账号互申请 2.先通过一个 3.再通过另一个,不出现异常,报「操作未完成」,已修复·已部署·待真机回归,friendship/service.py:53-65 不查重→唯一约束 500；contacts_page.dart:1885,批次B,服务端已部署（2026-09-20 核验在位）,服务端互申请用例+真机,服务端根因；注意与 c4d61196 幂等打招呼修复区分；服务端 accept 幂等合并；需部署服务端后回归；2026-09-20 核验：生产容器 modules/friendship/service.py 与 main 一致（friend.accepted.merged 在位）
BUG-22,视频通话接听按钮应为视频样式,通话,UI,一般,P1,1.拨打视频通话 2.看接听按钮,视频接通按钮,与语音按钮一致,已修复·待真机回归,call_page.dart:522-532 恒 voiceCallFilled；changliao_icons.dart:17-19,批次A,本批次（工作树，未提交）,widget 断言视频图标,缺 videoCallFilled 图标 token
BUG-23,通话后未读消息数量不正确,消息列表/通话,功能,一般,P1,1.会话外拨打视频通话 2.接通/挂断 3.看未读数,数量正确,2 条消息显示 4 未读,已修复·待真机回归,通话链路不触碰 read state；m.call.* 计入服务器未读（conversation_read_state.dart:64-78）,批次B,工作树（未提交）,挂断后未读断言,客户端先行；服务端剔除信令为治本；通话结束 markRoomRead；三轮：onEnded 移至终态首现（覆盖来电/最小化路径）；2026-09-20 决策：服务端剔除 m.call.* 在 E2EE 房间结构性不可行——信令事件加密后服务器仅见 m.room.encrypted，不解密即无法区分（禁止服务器接触明文）；客户端通话结束推进已读已随 0.3.102/2144 发布；残余场景（通话中进程被杀导致未读滞留）的启动自愈与信令改造评估列入批次 D
BUG-24,拉封禁用户进群无提示且拉不成功,群聊,功能,一般,P1,1.拉被禁用用户进群 2.查看提示,不能拉取或有提示,无提示且拉不成功,已修复·待真机回归,groups.py:275-276 失败桶已有；group_chat_info_controller.dart:265-269 丢弃 code 不撤回邀请,批次B,工作树（未提交）,分桶文案+撤回断言,服务端已识别仅差客户端消费；限制账号如实提示+撤回邀请
BUG-25,编辑态收藏/保存提示不消失,聊天/图片编辑,UX,一般,P1,1.图片编辑态 2.收藏或保存到本地 3.看提示,几秒后消失,提示不消失,已修复·待真机回归,wechat_image_editor.dart:786-791 复用常驻错误字段无 Timer,批次A,本批次（工作树，未提交）,widget pump 3 秒断言消失,功能本身已通
BUG-26,编辑态转发到群群头像为空,聊天/转发,UI,一般,P2,1.图片编辑后转发 2.转发到群,群头像正常,群头像为空,已修复·待真机回归,room_page.dart:4323-4344 GroupAvatarMosaic；group_avatar_mosaic_test.dart,批次R,当前主干,真机回归,已实现九宫格兜底
BUG-27,编辑态转发后一直显示正在发送,聊天/图片编辑,功能,一般,P1,1.图片编辑态 2.转发后返回查看,不一直显示正在发送,一直显示,已修复·待真机回归,wechat_image_editor.dart:787-791 无终态清除；wechat_image_editor_test.dart:179-197 固化旧行为,批次A,本批次（工作树，未提交）,转发成功/失败终态用例,需同步修订固化旧缺陷的测试
BUG-28,编辑图片连续发送 2 次大小不一致,聊天/图片编辑,UI,一般,P2,1.编辑态图片连发 2 次 2.对比大小,一致,不一致,部分修复·待补齐,附缩略图跳过 generateThumbnail→事件缺顶层 w/h（matrix_e2ee_client.dart:6246-6264）,批次D,未定,两次发送布局一致性断言,已有稳定占位框防跳动；批次 D 计划已就绪：docs/superpowers/plans/2026-09-20-defect-batch-d-media-plan.md
BUG-29,群聊退出剩一人不自动变群主,群聊/服务端,功能,一般,P1,1.群成员退出至剩一人,自动转移群主,不转移,已修复·待真机回归,group_chat_info_controller.dart:500-512 leave 无转移；服务端无端点,批次B,工作树（未提交）,owner 退出触发转移用例,决策点D3：转移给最早加入成员；群主退出前转移给最早成员
BUG-30,重复申请加同一好友无提示,通讯录,UX,一般,P1,1.重复申请加同一好友,有对应提示,无提示,已修复·待真机回归,入口已拦截（add_friend_profile_page.dart:45-46）；request_friend_page.dart:208-220 忽略 duplicate 响应,批次A,本批次（工作树，未提交）,duplicate=true 分支用例,消费服务端 duplicate 字段即可
BUG-31,申请好友页面需优化,通讯录,UI,建议,P2,1.进入申请好友页,美观,不美观,已修复·待真机回归,request_friend_page.dart:19-441 已按微信风格重构＋布局测试,批次R,当前主干,真机主观验收,无专门 BUG-31 记录但重构已落地
BUG-32,聊天记录引用按钮样式需更换,聊天,UI,一般,P2,1.查看聊天记录消息操作,更换引用样式,仍是回复箭头图标,已修复·待真机回归,message_action_sheet.dart:22 CupertinoIcons.reply,批次A+反馈,工作树（未提交）,图标断言用例,单点替换；改为双引号字形（用户指定）
BUG-33,配置消息提醒到点不提醒,聊天/提醒,功能,一般,P1,1.配置消息提醒 2.到点查看,能提醒,不提醒,已修复·待真机回归,message_reminder_service.dart + local_notification_scheduler.dart；message_reminder_service_test.dart 6 例,批次R,当前主干,真机到点验证,含 overdue 单次提示
BUG-34,语音滑到转文字功能无效,聊天/语音,功能,一般,P1,1.发语音滑到转文字,转文字生效,无效,已修复·待真机回归,voice_transcriber.dart（zh-CN speech_to_text）；room_page.dart:2319-2331,批次R,当前主干,支持 STT 的真机验证,无 STT 设备静默降级为发语音
BUG-35,发视频需状态提示/暂停/重试,聊天/媒体,功能,一般,P2,1.发送视频 2.查看状态,有进度可暂停重试,无对应功能,部分修复·待补齐,video_send_stage.dart 阶段+重试已有；无暂停与相册视频进度,批次D,未定,阶段进度 UI 用例,决策点D5：一期不做暂停；批次 D 计划已就绪（D5 已拍板：不做暂停，验收=转码/上传百分比+失败重试）
BUG-36,选表情直接点发送不成功,聊天,功能,一般,P1,1.聊天页 2.选表情点发送,直接发送成功,要点两次（先收起面板）,已修复·待真机回归,room_page.dart:5194-5204 TapRegion 不消费事件,批次R,当前主干,真机回归,建议补固化测试防回归
BUG-37,搜索聊天记录头像显示问号,搜索,UI,一般,P2,1.消息页 2.搜索看聊天记录,头像正常,头像显示？,已修复·待真机回归,matrix_e2ee_client.dart:6491-6498 senderName 兜底；user_identity.dart:29-49,批次R,当前主干,真机回归,chat_search_page.dart:548 有不可达残留可顺手清理
BUG-38,朋友圈更换封面偶尔报错,朋友圈,功能,一般,P2,1.朋友圈 2.更换封面 3.看结果,不报错,偶尔报错提示,已修复·待真机回归,moments_page.dart:1116-1161 四步串行无重试；失败裸显+孤儿 upload,批次C（已随 0.3.102/2142 发布）,dca25721（0.3.102/2144 线上）,弱网重试用例,失败有兜底展示但无根因处理
BUG-39,转账对方收款后当前页面不变已收款,转账,功能,一般,P1,1.转账 2.对方收款 3.不操作看本机页面,实时变为已收款,不变需重进,已修复·待真机回归,chat_transfer_detail_controller.dart:79/97-185 无推送/轮询,批次C（已随 0.3.102/2142 发布）,dca25721（0.3.102/2144 线上）,打开期间轮询/回前台刷新用例,决策点D6：一期轮询二期推送
BUG-40,语音条读完自动连播下一条,聊天/语音,需求,一般,P2,1.连续多条语音 2.播放,读完自动播下一条未读,播完即停,需求增强·已排期,voice_playback_controller.dart:188-190/259-266 无队列；测试固化播完即停,批次D,未定,连播队列用例+开关,决策点D7：同会话连播+默认关；批次 D 计划已就绪（D7 已拍板：同会话连播+默认开+设置开关）
BUG-41,弱网朋友圈大图正在加载不消失,朋友圈,功能,一般,P1,1.弱网进朋友圈看大图 2.退出大图 3.看状态栏,不出现滞留提示,持续存在,已修复·待真机回归,moment_image_viewer_page.dart:224-228；network_status_capsule.dart:53-85 随页销毁,批次R,工作树（未提交）；朋友圈页状态栏已隐藏,弱网真机回归,脚手架级已抑制 connecting；三轮：朋友圈页整页隐藏网络状态栏（离线优先内容不受影响）
